id/bioguide,id/thomas,id/govtrack,social/twitter,social/facebook,social/youtube_id,social/twitter_id,social/youtube,social/instagram,social/instagram_id
R000600,02222,412664,RepAmata,aumuaamata,UCGdrLQbt1PYDTPsampx4t1A,3026622545,,,
Y000064,02019,412428,SenToddYoung,SenatorToddYoung,UCuknj4PGn91gHDNAfboZEgQ,234128524,RepToddYoung,sentoddyoung,
E000295,02283,412667,SenJoniErnst,senjoniernst,UCLwrmtF_84FIcK3TyMs4MIw,2856787757,,senjoniernst,1582702853
T000476,02291,412668,senthomtillis,SenatorThomTillis,UCUD9VGV4SSGWjGdbn37Ea2w,2964174789,,senthomtillis,
