name,screen_name,id_str,created_date,text,retweet_count,favorite_count,geo,retweet
Joni Ernst,SenJoniErnst,2856787757,2019-02-08 15:44:48,".@NWBC provides counsel to Congress &amp; the admin on economic challenges affecting women biz owners. I'm happy to report my nominee, Barb Kniff-McCulla of Pella, IA, is officially a member! She’ll bring a unique perspective on issues facing women biz owners in rural communities.",6,44,,False
Joni Ernst,SenJoniErnst,2856787757,2019-02-07 14:26:51,"When bad actors abuse our trade policies, the President should have the tools available to hold them accountable. However, the @DeptofDefense, not @CommerceGov, should evaluate the nat'l security basis for tariffs. My legislation reforms that process: https://t.co/gtFUb7z4uf",15,63,,False
Joni Ernst,SenJoniErnst,2856787757,2019-02-06 19:24:37,"I’m proud of our achievements, and I’m glad for the leadership of @POTUS and folks willing to work together to get our economy moving. There is more work yet to be done, and I look forward to seeing our economy continue to achieve new heights.",7,50,,False
Joni Ernst,SenJoniErnst,2856787757,2019-02-06 19:23:12,"Simply put, when Washington gives power back to Main Street, American families win.",10,54,,False
Joni Ernst,SenJoniErnst,2856787757,2019-02-06 19:21:18,"Furthermore, cutting red tape and scaling back burdensome regulations has led to a surge in small business optimism.",2,15,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-08 20:57:00,".@SBAgov Offers Disaster Loans for NC Private NonProfit Organizations Affected by Tropical Storm Michael. @SBAsoutheast @SBA_NC 
https://t.co/CZGuu1z1TG",4,8,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-08 17:45:44,My letter to administration officials requesting additional info on the recent decision to open the Atlantic Outer Continental Shelf for review under a new oil &amp; gas leasing program. What actions are agencies taking to safeguard longstanding industries in our coastal communities? https://t.co/SyNKV2Zd3q,11,44,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-07 22:42:08,"2.7.19: Shine a Light on Slavery Day 
Please join me in raising awareness for more than 40 million people trapped in modern day slavery and human trafficking. #EndItMovement https://t.co/JbIxfo2uz9",23,40,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-07 20:52:00,"This is big news for North Carolina and the city of Charlotte. The Queen City continues to reaffirm its status as a world-class finance and banking hub, currently the second biggest in the county. https://t.co/4Z5sWHW8Uw",17,79,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-07 19:47:27,"My statement after voting to advance Bill Barr’s nomination for Attorney General to the floor of the U.S. Senate. 
https://t.co/MM836Av9HS https://t.co/bfHkAc6W3P",13,52,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 23:04:27,"RT @SenatorBurr: .@USDOTFRA announced a crucial $10 million grant to @NCDOT yesterday, providing several needed railway upgrades, highway i…",17,0,,True
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 21:52:06,I joined @RepBillFlores to re-introduce the Hatch-Waxman Integrity Act in the Senate and House. The legislation would help ensure that alternative procedures for challenging drug patents do not tilt the playing field contrary to Hatch-Waxman’s design. https://t.co/oB6Loa6Eth,4,12,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 18:33:48,The 2019 tax filing season is now underway. Find help to file and prepare your tax return on the #IRS site. https://t.co/BiZETJRuM1 https://t.co/lyVXsgl24a,7,7,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 13:55:35,"RT @SenateGOP: Happy birthday, Mr. President! 🎈 https://t.co/T09yYTQgKx",268,0,,True
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 03:51:06,It was an honor to welcome North Carolina natives Pastor Andrew Brunson and Norine Brunson as my guests to the #SOTU. One of my proudest moments as a U.S. Senator was the work we did to help secure Andrew’s release from Turkish prison. https://t.co/kcUveMuu31,73,438,,False
