name,screen_name,id_str,created_date,text,retweet_count,favorite_count,geo,retweet
Joni Ernst,SenJoniErnst,2856787757,2019-02-06 19:19:28,"Nowhere is the power of this job creation more evident than #Iowa, where the 2.4 percent unemployment rate is the lowest in the nation. There are 64,000 plus jobs open in Iowa right now! Over 1.6 million Iowans are employed – the most in our state’s history.",3,9,,False
Joni Ernst,SenJoniErnst,2856787757,2019-02-06 19:18:46,The tight labor market has drawn workers off of the sidelines. Folks that have been unemployed or underemployed are finding work.,2,10,,False
Joni Ernst,SenJoniErnst,2856787757,2019-02-06 19:18:25,"Just as important, this economic growth has put upward pressure on wages, with the average hourly pay increasing by 3.2 percent from last year. Lower-wage workers saw some of the biggest increases.",1,5,,False
Joni Ernst,SenJoniErnst,2856787757,2019-02-06 19:17:59,"Last Friday’s January jobs report is a continued good news story, with 304,000 new jobs added last month.  It is also an example of how Republican pro-growth policies are getting people back to work.",0,3,,False
Joni Ernst,SenJoniErnst,2856787757,2019-02-06 19:17:40,"I rise today to speak on the strength of the U.S. economy. As President Trump said in last night’s #SOTU, “our economy is thriving like never before.”",0,2,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 23:04:27,"RT @SenatorBurr: .@USDOTFRA announced a crucial $10 million grant to @NCDOT yesterday, providing several needed railway upgrades, highway i…",15,0,,True
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 21:52:06,I joined @RepBillFlores to re-introduce the Hatch-Waxman Integrity Act in the Senate and House. The legislation would help ensure that alternative procedures for challenging drug patents do not tilt the playing field contrary to Hatch-Waxman’s design. https://t.co/oB6Loa6Eth,4,8,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 18:33:48,The 2019 tax filing season is now underway. Find help to file and prepare your tax return on the #IRS site. https://t.co/BiZETJRuM1 https://t.co/lyVXsgl24a,7,6,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 13:55:35,"RT @SenateGOP: Happy birthday, Mr. President! 🎈 https://t.co/T09yYTQgKx",265,0,,True
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 03:51:06,It was an honor to welcome North Carolina natives Pastor Andrew Brunson and Norine Brunson as my guests to the #SOTU. One of my proudest moments as a U.S. Senator was the work we did to help secure Andrew’s release from Turkish prison. https://t.co/kcUveMuu31,73,431,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 03:35:44,"My full statement on President Trump’s #SOTU address.
https://t.co/gdazJt5VvO https://t.co/wWjxKyED5Q",19,66,,False
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-06 03:31:54,"RT @SenateGOP: Happy 81st Birthday, Judah! 🎈 https://t.co/2KcE3g1ZjA",1942,0,,True
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-05 20:30:31,"RT @SenateGOP: At 9pmET, @realdonaldtrump will deliver his #SOTU address. He has plenty of good news to share. Republicans have delivered o…",1065,0,,True
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-05 17:03:32,"RT @AmericaNewsroom: WATCH: @BillHemmer spoke with @SenThomTillis on the State of the Union address tonight, NC Pastor Andrew Brunson to at…",14,0,,True
Senator Thom Tillis,SenThomTillis,2964174789,2019-02-04 21:29:30,"Empowering veterans to make decisions about their own health care is not only the right thing to do, it is a critical step in allowing the VA to continue to modernize and meet the needs of an increasingly diverse veteran community. https://t.co/ioGXrsmThZ",18,57,,False
